State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Andhra Pradesh,Anantapur,Tata Power- Blue Moon Highway Charging Station,"116/1B, Midthuru, Peddavaduguru, Anantapuram",,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/5.0127985,77.4958587",5.0127985,77.4958587
Andhra Pradesh,Anantapur,Tata Power - Blue Moon Highway Charging Station,"NH 44; Bangalore - Hyderabad Highway, 116/1B",18008332233,CCS-IICHAdeMO,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/15.02395,77.620628",15.02395,77.620628
Andhra Pradesh,Anantapur,IOCL - Habeeb Charging Station,"Kadiri,Indianoil Dealer Survey No.959-59 Kadiri Village Regist Distict: Hindupuram",8886602617,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/14.113746,78.161154",14.113746,78.161154
Andhra Pradesh,Anantapur,IOCL - Shuchi Fsb Charging Station,Kaluvapalli Village,18008332233,CCS-II,12:00 AM - 12:00 PM,"https://www.google.com/maps/dir/Current+Location/14.646347,77.311744",14.646347,77.311744
Andhra Pradesh,Anantapur,IOCL - Bhaskar Charging Station,Sy. No.222/3B Tadipatri Road,9246419559,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/14.6834867,77.615799",14.6834867,77.615799
Andhra Pradesh,Anantapur,"IOCL- Prsion, Samudram CHARGING STATion",Samudram,18008332233,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/14.61823,77.6045",14.61823,77.6045
Andhra Pradesh,Anantapur,IOCL- Vivek Roadways Charging Station,"Hampapuram,Sy. No.87",18008332233,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/14.617653,77.605984",14.617653,77.605984
Andhra Pradesh,Anantapur,IOCl - Divyasai Charging Station,"Divyasai, Tadipatri,Anantapur Road (L-66 67) Nandalapadu Tadipatri",,CCS-II,24 Hours,"https://www.google.com/maps/dir/Current+Location/14.669374,77.594475",14.669374,77.594475
Andhra Pradesh,Anantapur,IOCL - Sai Krupa Charging Station,"Sh 26,Indian Oil Dealer Guntakal Hanuman Circle",18008332233,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/15.146297,77.377456",15.146297,77.377456
Andhra Pradesh,Anantapur,IOCL - Sri Chennakeshava Fs Charging Station,Rapthadu Village,18008332233,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/14.591137,77.612123",14.591137,77.612123
Andhra Pradesh,Anantapur,Kazam - Adhoc Kusumitha Charging Station,"Beluguppa,Sy No: 532/C1B Apsrtc Uravakonda Uravakonda V&M",9440757763,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/14.9365881,77.255675",14.9365881,77.255675
Andhra Pradesh,Anantapur,IOCL - Sree Devi Prasad Agencies Charging Station,"Tallapalem,Indian Oil Dealers Rtd-82",8291092974,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/16.922985,81.962199",16.922985,81.962199
Andhra Pradesh,Anantapur,IOCL - Uma Shankar Charging Station,"Sh 30 - Sy No110/4b,Kalyandurg To Raidunrg Main Road Outer Ring Road , Kalyandurg",9246419559,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/14.696064,77.607876",14.696064,77.607876
Andhra Pradesh,Anantapur,Tata Power - Anatapur Charging Station,Sriram Petroleums,,CCS-IIBharat DC-001,24 Hours,"https://www.google.com/maps/dir/Current+Location/14.6796091,77.581606",14.6796091,77.581606
Andhra Pradesh,Anantapur,Hotel Gangothri LionCharge ( private Charger ),"Gangothri, Restaurant, Check Post, Nh44",7995015483,CCS-IIAC TYPE 2,24 Hours,"https://www.google.com/maps/dir/Current+Location/13.836068,77.741017",13.836068,77.741017
Andhra Pradesh,Anantapur,IOCL - SRI DURGA PARAMESHWARA Charging Station,"No 1/1, Tumkur Bidarekere Kaval, Madhugiri, S.Rayapuram",7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/13.902267,77.245013",13.902267,77.245013
Andhra Pradesh,Anantapur,IOCL - Sriram Charging Station,"Ground Floor, NH 7, Anatapur Bypass Rudrampeta",9440288294,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/14.669971,77.580792",14.669971,77.580792
Andhra Pradesh,Anantapur,HPCL - Ap Prisons Fuel Station Bgp,PENUKONDA VILLAGE,9494633608,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/14.08681,77.597223",14.08681,77.597223
Andhra Pradesh,Anantapur,HPCL - Gvr Quality Charging Station,"Bangalore - Hyderabad Hwy, Palasamudram",2222863900,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/13.975787,77.673847/@20.3551803,73.9530879,6z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",20.3551803,73.9530879
Andhra Pradesh,Anantapur,HPCL - Royal Charging Station,HYDRABAD BANGALORE ROAD,9494367621,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/17.432989,78.522348",17.432989,78.522348
Andhra Pradesh,Anantapur,HPCL -Jagadeesh Shai Charging Station,"Lock No 254 Penukonda, Anantapur",,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/14.090774,77.594167",14.090774,77.594167
Andhra Pradesh,Anantapur,IOCL - Sri Ramparameswara & Sons Ro Charging Station,"Sri Ramparameswara & Sons Ro, Old NH 7, N Oil Dealer, Peddavadugur",8291092974,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/15.019192,77.673657",15.019192,77.673657
Andhra Pradesh,Anantapur,IOCL - SRI DURGA PARAMESHWARA Charging Station,"SH 3, Bidarekere Kaval",7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/13.897641,77.239183",13.897641,77.239183
Andhra Pradesh,Anantapur,IOCL - Uma Shankar Charging Station,Dealer Indian Oil Corp. Ltd. Kalyandurg Village And Mandal Kalyandurg,9966258000,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/14.567782,77.104468",14.567782,77.104468
Andhra Pradesh,Anantapur,IOCL - Beluguppa Charging Station,"Adhoc Kusumitha Ksk, Beluguppa,Sy No: 532/C1B Apsrtc Uravakonda",9491579821,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/14.71678,77.1261148",14.71678,77.1261148
Andhra Pradesh,Anantapur,HPCL - MG Brothers Charging Station,"HP Dealers Bellary, Chowrastha",9989500452,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/14.686741,77.583981",14.686741,77.583981
Andhra Pradesh,Anantapur,HPCL - SRI LAKSHMI VENKATA SAI AUTOMOBIL Charging Station,"Survey NO 447, 1, Anantapur-Bangalore Rd, Vijayanagar Colony",9966712249,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/14.665158,77.612973",14.665158,77.612973
Andhra Pradesh,Anantapur,HPCL - OGETI NAGARANGAIAH Charging Station,S NO 110/E Nandulapadu Tadpatri,2222863900,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/14.909442,77.985725",14.909442,77.985725
Andhra Pradesh,Anantapur,Ather-Ladies Emporium Charging Station,Kamalanagar,8884025577,,10:00 AM - 09:45 PM,"https://www.google.com/maps/dir/Current+Location/14.674401,77.581982",14.674401,77.581982
Andhra Pradesh,Anantapur,Ather-Space Anantapur,VS Enclave,7676600900,,09:30 AM - 08:30 PM,"https://www.google.com/maps/dir/Current+Location/14.674399,77.581988",14.674399,77.581988
