State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Assam,Barpeta,IOCL - Bornagar Charging Station,Ground Floor Sorbhog,9435513349,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/V3QF%2BWCX,+Uattardhona,+Uttar+Pradesh+226010/26.4764319,90.858138/@26.1239103,75.3269396,5z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be2006c71e24d:0x5989857f6b7db633!2m2!1d81.0738702!2d26.889762!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.1239103,75.3269396
Assam,Bongaigaon,IOCL - Chapaguri Charging Station,"Ground Floor, Dhaligaon Chapaguri",9435020480,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/V3QF%2BWCX,+Uattardhona,+Uttar+Pradesh+226010/26.500612,90.558394/@26.3376755,80.5159728,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be2006c71e24d:0x5989857f6b7db633!2m2!1d81.0738702!2d26.889762!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.3376755,80.5159728
Assam,Bongaigaon,IOCL - Kangkana Charging Station,"Ground Floor, Bijni, Ananda Bazar, Moutara Gerukabari",9954040336,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.496575,90.69316",26.496575,90.69316
Assam,Cachar,IOCL - Prabhu Dayal Charging Station,Ground Floor Binnakandi,9101272635,Bharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/24.788281,92.999245",24.788281,92.999245
Assam,Cachar,IOCL - Tn Energy Charging Station,"Ground Floor, Dautohaza, Mahur Haflong North Hills",8638229107,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/25.178004,93.0115254",25.178004,93.0115254
Assam,Cachar,IOCL - Moirang Charging Station,"Ground Floor, Udharbond Amaranagar",9954246764,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/24.896493,92.895956",24.896493,92.895956
Assam,Dhubri,IOCL - Chappar Charging Station,"Ground Floor, NH 31 Chapar",9435029275,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.26063,90.419168",26.26063,90.419168
Assam,Dibrugarh,IOCL - Balaji Charging Station,"Ground Floor, Lahoal, Melengial Bokul Maj Gaon",9435533147,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/27.442082,95.033054",27.442082,95.033054
Assam,Dibrugarh,IOCL - Beria Brother Convoy Charging Station,"Dag No 13, PP No 148 Mancotta Road Chowkidinghee",9435030654,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/27.471098,94.912228",27.471098,94.912228
Assam,Dibrugarh,IOCL - D H Service & Charging Station,"Ground Floor, Khanikar Bairagimath",9435130919,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/27.428065,94.922542",27.428065,94.922542
Assam,Dibrugarh,IOCL - Parakh Charging Station,"Dag No 466536467, Patta No 7273 11/164, Khowang Chariali Moran Town",9706813651,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/27.198626,94.909263",27.198626,94.909263
Assam,Dibrugarh,IOCL - Barbarua Charging Station,"Ground Floor, Balaibari, Barbaruah Lepetkatta Bangali Gaon",9435031962,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/27.3670142,94.86672",27.3670142,94.86672
Assam,Dibrugarh,IOCL - Beria Brothers P Ltd Charging Station,"Ground Floor, Chowkidinghee, Mancotta Road Dibrugarh",8723979731,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/27.471057,94.912234",27.471057,94.912234
Assam,Dibrugarh,IOCL - Swarna Charging Station,Nowjan N.C,,AC TYPE 2,09:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/27.300976,94.901409",27.300976,94.901409
Assam,Dibrugarh,Tata Power - Subhangshu Motors Charging Station,"SUBHANGSHU MOTORS, NH 37, JHAPARA GAON",7086049819,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/27.479313,94.903631",27.479313,94.903631
Assam,Dima Hasao,IOCL - Demow Charging Station,Ground Floor Demow,9435051138,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/V3QF%2BWCX,+Uattardhona,+Uttar+Pradesh+226010/27.108033,94.719737/@26.2091327,77.2546533,5z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be2006c71e24d:0x5989857f6b7db633!2m2!1d81.0738702!2d26.889762!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.2091327,77.2546533
Assam,Goalpara,IOCL - Darrang Giri Charging Station,Darrang Giri Patiarpara 1 M Khanda Dudhnoi,9954273257,Bharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.227067,91.906928",26.227067,91.906928
Assam,Golaghat,IOCL - Chungajan Charging Station,Dag No- 182 Patta No-07 Mouza- Sarupathar Dist- Golag Vill- No 2 Chungajan,9957017547,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.0566894,93.82012",26.0566894,93.82012
Assam,Golaghat,IOCL - Thengal Auto Charging Station,Ground Floor GD Road,9864255791,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.507304,93.956516",26.507304,93.956516
Assam,Hailakandi,IOCL - Jai Hanuman Charging Station,Ground Floor Barjalenga,6000456194,Bharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/24.672753,92.723577",24.672753,92.723577
