State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Bihar,Araria,IOCL - Jawaid Charging Station,"Jawaid Fuel Centre,Barbana Sh-77 Po-Meriganjps-Raniganj",,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/26.0698167,87.243787/@26.4006658,78.8625227,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.4006658,78.8625227
Bihar,Araria,IOCL - Kalyani Charging Station,"Maa Kalyani Fuel Centre,Mauza-Raniganj On Nh-327E Bet Reshamlal Chowk & Raniganj",,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/26.054727,87.3220529/@26.3929964,78.9009906,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.3929964,78.9009906
Bihar,Araria,HPCL - MS FIZA Charging Station,"SH76, Majkuri",9065784199,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/26.123738,87.411178/@26.4210449,78.9482272,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.4210449,78.9482272
Bihar,Aurangabad,TML - Satish Motors Charging Station,"Plot No72/1 Saharanpur, Wanjarwadi",18002095161,CCS-IICHAdeMOAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/19.911983,75.232932",19.911983,75.232932
Bihar,Aurangabad,IOCL - Pragati Charging Station,Survey No 35 Jaswantpura,9423558649,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/19.753294,75.151116",19.753294,75.151116
Bihar,Aurangabad,IOCL - Shiv Charging Station,"Gut No 39, PT 144 & 145, Karmad Adgaon BK",9422353137,CCS-IIAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/19.869525,75.537765",19.869525,75.537765
Bihar,Aurangabad,Tata Power - HOTEL SRUSHTI AGRO TOURISM (Private - charger),"Aurangabad - Pune Road, Jikthan",9075542433,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/19.753773,75.151003",19.753773,75.151003
Bihar,Aurangabad,Super - Supreme pack Charging Station,"Plot No 15, Near Abc Complex, Adalat Road",,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.315324,78.042977/@28.5685994,76.9128858,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5685994,76.9128858
Bihar,Aurangabad,Tata Power - Aurangabad Smart City Charging Station,Himayat Bagh,7208099829,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/19.899214,75.333658",19.899214,75.333658
Bihar,Aurangabad,Tata Power - Taj Vivanta Aurangabad (Private - Charger),"8-N -12 Cidco,Dr.Rafiq Zakaria Marg, Rauza Bagh",2402613737,CCS-IIAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/19.9076367,75.346443",19.9076367,75.346443
