State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Chandigarh,Chandigarh,Berkeley Hyundai Charging Station,Plot No 27 Industrial Area Phase 1,9914222777,AC TYPE 2AC TYPE 1,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/30.731669,76.790306/@28.741933,76.221513,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfd991f32b16b:0x93ccba8909978be7!2m2!1d80.946166!2d26.8466937!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.741933,76.221513
Chandigarh,Chandigarh,PlugShare - Gg Charging Station,"E-37, Phase 8, Industrial Area, Sahibzada Ajit Singh Nagar",9865321457,CHAdeMOWall (BS1363),10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.708435,76.702134",30.708435,76.702134
Chandigarh,Chandigarh,Tata Power - Coco IT Park Charging Station,"Coco IT Park, Rajiv Gandhi",7495043823,CCS-IICHAdeMODC,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.731022,76.83644",30.731022,76.83644
Chandigarh,Chandigarh,Tata Power - COCO IT Park Charging Station,"IT HABITAT, Rajiv Gandhi Chandigarh Technology Park, Bhagwanpura, Chandigarh",18008332233,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.725511,76.846396",30.725511,76.846396
Chandigarh,Chandigarh,Tata Power - MC2 Charging Station,"Indian OIL - MC 2 , Industrial Area Phase-II MC Site, CHANDIGARH TOZIRAKPUR ROAD AT INDUSTRIAL AREA, PHASE-II,",18008332233,CCS-IICHAdeMO,12:00 AM - 11:00 PM,"https://www.google.com/maps/dir/Current+Location/30.696448,76.796631",30.696448,76.796631
Chandigarh,Chandigarh,iocl - filling sattion Iyt habitat,"It Habitat, Rajiv Gandhi Chandigarh Technology Park",8527000290,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.738281784474232,76.77726621058223",30.73828178,76.77726621
Chandigarh,Chandigarh,Tata Power - RSA Motors Charging Station,"Plot No.40, Industrial Area Phase Ll",8527000290,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.699071,76.785535",30.699071,76.785535
Chandigarh,Chandigarh,Tata Power - Coco It Park Charging Station,Coco It Park Indian Oil Corp Petrol Pump It Park Near The Lalit Hotel,18008332233,CCS-IICHAdeMO,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.731039,76.836385",30.731039,76.836385
Chandigarh,Chandigarh,Tata Power - Chandigarh Nagar Nigam,Petrol & Cng Station Vikas Marg Sector-51A,,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.707077,76.742745",30.707077,76.742745
Chandigarh,Chandigarh,Tata Power - Audi Ashwani Charging Station,"No 54 Phase 2, Industrial Area",1722655554,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.700886,76.789195",30.700886,76.789195
Chandigarh,Chandigarh,Tata Power - near hallomajra chowk Charging Station,"Mc2, Industrial Area Ii, Indian Oil - Mc 2 , Industrial Area Phase-Ii Mc Site, Chandigarh Tozirakpur Road At Industrial Area, Phase-Ii",18008332233,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.696231686620543,76.78556955251825",30.69623169,76.78556955
Chandigarh,Chandigarh,"Tata Power - Coco It Park,Coco",It Park Indian Oil Corp Petrol Pump It Park Near The Lalit Hotel,,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.73106,76.836409",30.73106,76.836409
Chandigarh,Chandigarh,Coco56 Mandeep Charging Station,"H.No. 349, Ward Number IV, Sector 21A, Sector 21",,Bharat DC-001,Closed Now,"https://www.google.com/maps/dir/Current+Location/30.730747933340442,76.78047551540101",30.73074793,76.78047552
Chandigarh,Chandigarh,BHEL - Citco Lpg & Charging Station,Ground Floor Sector 38,9888812920,Bharat DC001 GB/T,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.74539,76.737508",30.74539,76.737508
Chandigarh,Chandigarh,IOCL - Chandigarh Nagar Nigam Charging Station,Chandigarh Nagar Nigam,,Bharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.707418,76.808675",30.707418,76.808675
Chandigarh,Chandigarh,Tata Power - Joshi Hyundai Chandigarh Charging Station,"Plot No. 66, Industrial Area, Phase - 2",8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.700315,76.789482",30.700315,76.789482
Chandigarh,Chandigarh,Tata Power - Hotel The Yellow( Private - Charger ),"HOTEL THE YELLOW, NEAR UCO BANK, KHUDA ALI SHER ROAD, NAYAGAON, SAS Nagar",8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.772131,76.802709",30.772131,76.802709
Chandigarh,Chandigarh,State bank of India Sector 17A (Private charger),"Local Head Office, Plot No 1, Sector 17A Chandigarh",9223581898,Type 2,Closed Now,"https://www.google.com/maps/dir/Current+Location/30.739764,76.78214",30.739764,76.78214
Chandigarh,Chandigarh,Charge Zone - Chandigarh,"HP Petrol Pump, 25, Madanpur Rd, Phase 3 A, Sector 53, Sahibzada Ajit Singh Nagar, Chandigarh",,CCS-II,Closed Now,"https://www.google.com/maps/dir/Current+Location/30.720677,76.729258",30.720677,76.729258
Chandigarh,Chandigarh,Charge Zone- Chandigarh,MS CTCO Petrol & CNG Station Dhanas Chandigarh,,CCS-II,Closed Now,"https://www.google.com/maps/dir/Current+Location/30.769383,76.748342",30.769383,76.748342
Chandigarh,Chandigarh,IOCL - COCO IT Park Charging Station,"Tech Mahindra, IT Habitat, Sukteri",1726668400,CCS-IICHAdeMO,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/30.731122,76.836436",30.731122,76.836436
Chandigarh,Chandigarh,Hpcl - Manimajra Fortum Charging Station,HP Petrol Pump In Front Of Kalagram,18008332233,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.710027,76.826324",30.710027,76.826324
Chandigarh,Chandigarh,AARGO - HOMETEL Charging Station,"A Sarovar Hotel, Plot No 147, 148, Purv Marg, Industrial Area Phase 2, Industrial Area Phase",9311291378,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.852119,76.746311",30.852119,76.746311
Chandigarh,Chandigarh,HP - Vishal Charging Station,"31, Opposite Tribune, Industrial Area, Industrial Area",18008332233,Bharat AC001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.706263,76.787591",30.706263,76.787591
Chandigarh,Chandigarh,BMW - Krishna Charging Station,"125, Industrial Area Phase I",9915749625,CCS-IICHAdeMOAC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.704223,76.802991",30.704223,76.802991
Chandigarh,Chandigarh,Porsche - Showroom/Workshop Charging Station,"27/9 Opp The Fern Residency, Tibune Chowk, Chandigarh Rd, Industrial Area Phase II",9815611911,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/30.703035,7.6791457E7/@26.8466698,80.8637645,12z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfd991f32b16b:0x93ccba8909978be7!2m2!1d80.946166!2d26.8466937!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.8466698,80.8637645
Chandigarh,Chandigarh,Tata Motors - Chandigarh Charging Station,"Plot No.40, Industrial Area Phase II",18008332233,CCS-IICHAdeMOAC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.699527,76.785372",30.699527,76.785372
Chandigarh,Chandigarh,ZEV - Blue Wings Cloud Kitchens Charging Station,"Plot No 361, Industrial Area, Phase 1",9779750538,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.696276,76.802526",30.696276,76.802526
Chandigarh,Chandigarh,Charge zone - Sarangpur Charging Station,Sarangpur,18008332233,CCS-IICHAdeMOGB/T,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.778365,76.763567",30.778365,76.763567
Chandigarh,Chandigarh,ZEV - Hyatt Centric Charging Station,"Hyatt Centric, Block No 10, Sector 17 A",9779750538,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/30.846892,76.768049",30.846892,76.768049
Chandigarh,Chandigarh,HP - Amar Charging Station,"Near New Grain Market, NH-21, Sector 39 D",9815993585,CCS-II,10:15 AM - 11:15 PM,"https://www.google.com/maps/dir/Current+Location/30.742155,76.724274",30.742155,76.724274
Chandigarh,Chandigarh,HPCL - ROCKROSE AUTO CENTRE Charging Station,"Dakshin Marg, 20C, Sector 20",9417180245,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.898391,76.780436",30.898391,76.780436
Chandigarh,Chandigarh,Fortum - Vishal SS Charging Station,"Near, Triibune Chowck, Tribune Colony, 31B, Sector 31",,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.7058,76.787228",30.7058,76.787228
