State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Chhattisgarh,Balod,IOCL - Vinay KSK Charging Station,"Balod Dhamtari Rd, Karhibhadar",7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/20.693534,81.312187",20.693534,81.312187
Chhattisgarh,Balod,IOCL - Sri Krishna Kisan Seva Kendra Charging Station,"Village Santhi Sakti Chandrapur Road Janjgir Champ, Sonthi, Janjgir Champa",7419627302,Bharat AC001,09:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/22.13961,82.54027/@24.4678047,79.104915,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfd991f32b16b:0x93ccba8909978be7!2m2!1d80.946166!2d26.8466937!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.4678047,79.104915
Chhattisgarh,Baloda Bazar,IOCL - Nirmal Charging Station,"Ground Floor, Limahi, Sakri Latuwa",9826199039,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/21.636813,82.178498",21.636813,82.178498
Chhattisgarh,Balrampur,IOCL - Tarun Kisan Sewa Kendra Charging Station,"Tarun Kisan Sewa Kendra,Village Zuwara Block Rehra Tehsil Utraula",,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/27.310631,82.415098/@27.1197626,80.3612521,8z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",27.1197626,80.3612521
Chhattisgarh,Balrampur,IOCL - Aryan Energy Centre Charging Station,Vill Ghughulpur On Nh-730 Between Km Stone 308-312 Balrampur Bahraich Road,,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/27.500454,82.067755/@27.1827724,80.8476437,9z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",27.1827724,80.8476437
Chhattisgarh,Balrampur,EVI Technologies - Surendra Krishna Charging Station,"8C75 9F8, Purainia Jat",,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/27.3134491,82.4086856/@27.1197626,80.3580266,8z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",27.1197626,80.3580266
Chhattisgarh,Bemetara,IOCL - Ambikaa Fuels Charging Station,Vill. Kobia Nh-12A Bametara,18002333555,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/21.715,81.5336/@24.2573134,78.7602829,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.2573134,78.7602829
Chhattisgarh,Bijapur,Tata Power - Bijargi Motors Charging Station,"NH13, Bye Pass, Indi Rd, Cross, Vijayapura",9742211172,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/16.849532,75.735392",16.849532,75.735392
Chhattisgarh,Bijapur,IOCL - Mahalingeshwar Charging Station,On Lhs Of Nh-13 From Horti To Zalak,9731050115,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/17.151207,75.790553",17.151207,75.790553
Chhattisgarh,Bijapur,Sanvi Charging Station,"Sanvi Petroleums,Indian Oil Dealers Sy. No.35/2 Narsalgi",,Bharat AC001Type 2,Closed Now,"https://www.google.com/maps/dir/Current+Location/16.4994218,75.995394",16.4994218,75.995394
Chhattisgarh,Bijapur,IOCL - Shree Renuka Charging Station,"Ground Floor, NH 13, Horti Opposite KEV Station Sindagi",9448144105,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/17.127323,75.785439",17.127323,75.785439
Chhattisgarh,Bijapur,IOCL - Shri Daneshwari Charging Station,"Ground Floor, Solapur Road, NH13, Dhulkhed, Bijapur Bhairungi Sindagi",9448119205,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/17.385878,75.843867",17.385878,75.843867
Chhattisgarh,Bijapur,IOCL - Shri Rayalingeshwara Charging Station,"Survey No 180/1B, Halasangi Village, Taluka Indi, Chadachan",9986150991,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/17.3774872,75.759594",17.3774872,75.759594
Chhattisgarh,Bijapur,IOCL - Sri Vinayaka Charging Station,"Ground Floor, Solapur Bijapur Road, Sindagi, NH 13, Balloli Chavadihal Sindagi",9920312124,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/15.4593675,76.110583",15.4593675,76.110583
Chhattisgarh,Bijapur,IOCL - M/S Chikle Bandhu Charging Station,"R No 96/1, Narayanpur Road, Nalatwad Hiremural Sindagi",9829147623,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/25.425446,73.059063/@26.1935301,71.709527,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfd991f32b16b:0x93ccba8909978be7!2m2!1d80.946166!2d26.8466937!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.1935301,71.709527
Chhattisgarh,Bijapur,HPCL - Maharath Hindustan Petroleum Charging Station,"NH52, Kapanimbargi",,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/17.17507375332867,75.7972663370664",17.17507375332867,75.7972663370664
Chhattisgarh,Bilaspur,Tata Power - Goyal Coal Sizing Charging Station,"Pendridih, Village: Sara Pendridih Seepat, Bilaspur By-Pass",9246419559,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/22.013661,82.048799/@24.4073145,78.8636877,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.4073145,78.8636877
