State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Delhi,New Delhi,66KV Grid Sub Station,Sector 3 Rohini Near NDPL Shakti Deep Building,9818100536,IEC 60309AC TYPE 1,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.7041,77.1025",28.7041,77.1025
Delhi,New Delhi,EESL - Electric Vehicle Charging Station,Opposite Anusandhan Bhawan Next To Mavalankar Auditorium Chelmsford Club Parking Rafi Marg,7906001402,CCS-IICHAdeMODCAC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.6139,77.209",28.6139,77.209
Delhi,New Delhi,Tata Power - Intimate Filling Soami Nagar Charging Station,"Panchsheel Marg, Soami Nagar North",18008332233,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.542718,77.225306",28.542718,77.225306
Delhi,New Delhi,Tata Power- Citi Fuels Virender Nagar New Delhi Charging Station,IOCL OPP.-VIRENDER NAGAR NEAR BHARATI COLLEGE,18008332233,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.6472799,76.813065",28.6472799,76.813065
Delhi,New Delhi,Tata Power - Sabarwal Charging Station,"IOCL - Sabarwal Service Station, RK Puram, Tamil Sangam Marg, Sector 5, Rama Krishna Puram",8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.567369,77.175281",28.567369,77.175281
Delhi,New Delhi,Tata Power - Nineteenth Hole Service Charging station,DR. ZAKIR HUSSAIN ROAD NEAR GOLF COURSEN,8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.6020461,77.234953",28.6020461,77.234953
Delhi,New Delhi,Tata Power - Irwin Road - Connaught Place Charging Station,"Baba Kharak Singh Rd, Hanuman Road Area, Connaught Place",8527000290,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.62932,77.21262",28.62932,77.21262
Delhi,New Delhi,Tata Power - Rajkumar Charging Station,"Rajkumar Service Station,Iit Crossing",7419894404,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.583376,77.191379",28.583376,77.191379
Delhi,New Delhi,Tata Power - Risal Petro Charging Station,"Opposite Sta TPT Authority, Laldora, Sant Nagar, Burari Road, Jharoda Majra",8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.7324265,77.198624",28.7324265,77.198624
Delhi,New Delhi,IOCL - Aaui Charging Station,IOCL At Plot No 1 I P Estate Ring Road,18008332233,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.6179662,77.2487894",28.6179662,77.2487894
Delhi,New Delhi,Tata Power - Bhasin Charging Station,IOCL Dr. K/S Krishnan Road Near NPL Pusa Institute New Delhi,8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.637547,77.174571",28.637547,77.174571
Delhi,New Delhi,Tata Power - Komal & Bros Charging Station,"Plot No. 10 Community Centre Mandawali Fazalpur Lock No 556 57A Patparganj New Delhi61, Community Center, Basant Nagar",7419853731,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.55773691,77.15794",28.55773691,77.15794
Delhi,New Delhi,Tata Power - Malwa Automobiles Prashant Vihar Charging Station,Showroom No. A1 16 Prashant Vihar Sector 14 Rohini,18008332233,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/28.708659,77.136715/@27.7482755,76.3999227,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",27.7482755,76.3999227
Delhi,New Delhi,EESL - Moti Bagh Charging Station,"NDMC Barat Ghar – Moti Bagh, E Block, Moti Bagh",7503505019,CCS-IICHAdeMOAC TYPE 2Bharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.582333,77.181061",28.582333,77.181061
Delhi,New Delhi,UTCL- Kalkaji Story Charging Station,A 121 DOUBLE STORY KALKAJI,8045688448,AC PLUG POINT,11:59 AM - 12:00 PM,"https://www.google.com/maps/dir/Current+Location/28.63243,77.175699",28.63243,77.175699
Delhi,New Delhi,EES - jor bagh market,Jor Bagh Market Nmdc Parking,,Bharat AC001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.586252,77.213194",28.586252,77.213194
Delhi,New Delhi,EESL - Lodhi Garden Charging Station,Lodhi Garden NMDC Parking,18001803580,CCS-IICHAdeMOAC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.592914,77.220242",28.592914,77.220242
Delhi,New Delhi,Kazam - Press Corner Charging Station,Press Corner,9711344849,AC PLUG POINT,24 Hours,"https://www.google.com/maps/dir/Current+Location/28.61731,77.213658",28.61731,77.213658
Delhi,New Delhi,CESL - Chelmsford Club Charging Station,"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area",7906001402,CCS-IICHAdeMOAC TYPE 2Bharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.6177877,77.210801",28.6177877,77.210801
Delhi,New Delhi,EV Plugin Charge Cross River Mall Charging Station,"Maharaja Surajmal Marg, Vishwas Nagar Extension, Maharaja Surajmal Marg, Vishwas Nagar Extension, Vishwas Nagar, Shahdara Shahdara",7042113345,CCS-IIAC TYPE 2GB/T,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.65740137,77.30219",28.65740137,77.30219
Delhi,New Delhi,CESL – Sushma Swaraj Bhawan Charging Station,"Back Side Sushma Swaraj Bhawan, Build Parking, Chanakyapuri",7906001402,CCS-IICHAdeMOAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.736887,77.263389",28.736887,77.263389
Delhi,New Delhi,Tata Power - Bedi Saxena Delhi Charging Station,"IOCL B-88-5, 86-5, Sat Guru Ram Singh Rd, Block B, Mayapuri Industrial Area Phase I, Mayapuri,",18008332233,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.627092,77.121841",28.627092,77.121841
Delhi,New Delhi,CSC minto Charging Station(Private Chager ),"Dr Spm Civic Centre, Minto Road, Skd Basti, Press Enclave, Ajmeri Gate",18008332233,Bharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.63733,77.221624",28.63733,77.221624
Delhi,New Delhi,UTCL- Naraina Charging Station,WZ 572k Naraina Village,9958765438,AC PLUG POINT,11:59 AM - 12:00 PM,"https://www.google.com/maps/dir/Current+Location/28.6321091,77.137268",28.6321091,77.137268
Delhi,New Delhi,Tata Power - Autovikas Motinagar Charging Station,No. 57 Rama Rd Block B Moti Nagar,8527000290,CCS-IIBharat DC001 GB/TCHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.6636726,77.156076",28.6636726,77.156076
Delhi,New Delhi,"Tata Power - Treo, Safdarjung Enclave Charging Station","A 2/14, Lower Ground Floor Main Africa Avenue Rd",7045137532,CHAdeMO,10:00 AM - 08:00 PM,"https://www.google.com/maps/dir/Current+Location/28.638239,77.240158",28.638239,77.240158
Delhi,New Delhi,BECIL - Paul Motor Chgarging Station,Speedways Service Centre IndianOil E-Charge Station Pump Jail Road Hari Nagar Mayapuri Opposite,7419894762,Bharat AC001,24 Hours,"https://www.google.com/maps/dir/Current+Location/28.624363,77.204853",28.624363,77.204853
Delhi,New Delhi,Tata Power - Sparsh Dwarka Charging Station,"RZ A- 70, Garg Plaza, Dabri - Palam Road, Dwarka",8527000290,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.60585,77.08133",28.60585,77.08133
Delhi,New Delhi,Tata Power - Westside Lajpat Nagar Charging Station,A-15 Alankar Cinema Building Feroze Gandhi Marg,18008332233,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.578701,77.203118",28.578701,77.203118
Delhi,New Delhi,Tata Power - Chitra Service Station,"Chitra Service Station, Dwarka,Sector-4",9599116621,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/28.7041,77.1025/@27.7482755,76.3829722,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",27.7482755,76.3829722
Delhi,New Delhi,Tata Power - Khairwal Charging Station,"Khairwal Petroleum,Punjabi Bagh Transport Centre Punjabi Bagh",9818061061,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.553,77.0944",28.553,77.0944
Delhi,New Delhi,CESL - H Block Sarita Vihar Charging Station,Sarita Vihar,9868904786,CCS-IIBharat AC001CHAdeMOAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.531119,77.311217",28.531119,77.311217
Delhi,New Delhi,EESL - Hauz Khas Village Charging Station,"SDMC Parking, Hauz Khas Village",18001803580,CCS-IICHAdeMOAC TYPE 2DCGBTAC TYPE 1,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.55447,77.19563",28.55447,77.19563
Delhi,New Delhi,CESL - DTC Kalkaji Depot Charging Station,"Rashmi Auto,Kalkaji Lock No 561",7419889526,CCS-IIBharat AC001CHAdeMOAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.538666,77.266986",28.538666,77.266986
Delhi,New Delhi,CESL – DTC Rajghat – 1 Depot Charging Station,"CESL – DTC EV Plaza, Rajghat – 1 DTC Depot",7419627407,CCS-IIBharat AC001CHAdeMOAC TYPE 2Bharat D,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.640256,77.25728",28.640256,77.25728
Delhi,New Delhi,NTPC - Hotel The Ashok (Private - Charger),"50, Niti Marg, Diplomatic Enclave, Chanakyapuri",1126110101,Bharat AC001Bharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.597071,77.195828",28.597071,77.195828
Delhi,New Delhi,Tata Power - Fortune Service Centre,"Fortune S S,Sec 19 Rohini New Delhi. Lock Code - I - 374",7419853563,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.727309,77.142992",28.727309,77.142992
Delhi,New Delhi,Tata Power - Welcome Motors Saket Charging Station,IOCL Saket Disst. Centre,9891802848,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.527934,77.215635",28.527934,77.215635
Delhi,New Delhi,Tata Power - Hundred Percent Charging Station Station,"IOCL Dwarka, Sector 9, Dwarka, New Delhi",8527000290,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.578641,77.05962",28.578641,77.05962
Delhi,New Delhi,Tata Power - Sagar Motors Charging Station,No ZB/43 487 & ZB 44 487 Dilshad Garden,8527000290,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.676246,77.31768",28.676246,77.31768
Delhi,New Delhi,Tata Power- Tikri Gas Delhi Charging Station,IOCL - Rohtak Road Block C Tyagi Vihar Ghevra,18008332233,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/28.686885,76.984929/@27.7228876,76.3243809,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",27.7228876,76.3243809
Delhi,New Delhi,HPCL Badarpur Service Gazipur Charging Station,Integrated Freight Complex Mayur Vihar Phase III Gharoli,8527000290,CCS-II,12:00 AM - 12:00 PM,"https://www.google.com/maps/dir/Current+Location/28.619703,77.341184",28.619703,77.341184
Delhi,New Delhi,Tata Power - Delhi Punjab Fuel Charging Station,"Singhu Border , 15/1 Gt.Karnal RD. Singhu Border, Po, Narela",18008332233,CCS-II,12:00 AM - 12:00 PM,"https://www.google.com/maps/dir/Current+Location/28.85588,77.1245",28.85588,77.1245
Delhi,New Delhi,"Worldmark 2, Aerocity",Aerocity,,,12:00 AM - 12:00 PM,"https://www.google.com/maps/dir/Current+Location/28.54948,77.12137",28.54948,77.12137
Delhi,New Delhi,REVOS - Divya Charging Station,C195 Divya Jyoti Apartment Sector 19 Rohini,9818081611,AC PLUG POINT,11:59 AM - 12:00 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/28.738309,77.140492/@27.7485835,76.4004997,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",27.7485835,76.4004997
Delhi,New Delhi,Tata Power - Priyanka Charging Station,"Priyanka Filling Station, Rohini",18008332233,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/28.725041,77.125741/@27.7593042,76.3933975,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfe8c8d903723:0xdc4a0d1e121bf0e5!2m2!1d80.9462214!2d26.8467953!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",27.7593042,76.3933975
Delhi,New Delhi,Electric Vehicle - Janakpuri Charging Station,"Basement 1 And 2 District Center, Janakpuri",9990565638,Bharat AC001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/28.625591,77.100933",28.625591,77.100933
Delhi,New Delhi,CESL - GK-2 Charging Station,"SDMC Parking, GK-2 M Block Near Canara Bank",,CCS-IICHAdeMOAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.547217,77.244324",28.547217,77.244324
Delhi,New Delhi,CESL - N Block GK-1 Charging Station,"Block N, Greater Kailash I, Greater Kailash,",9319300301,CCS-IICHAdeMOAC TYPE 2Bharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/28.556608,77.232732",28.556608,77.232732
