State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Gujarat,Ahmedabad,Tata Power - Ginger Vastrapur Charging Station,Opposite The Grand Bhagwati SG Road Bokadev,9223581898,CCS-IICHAdeMO,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.0225,72.5714",23.0225,72.5714
Gujarat,Ahmedabad,Tata Power - Riya Autolink Bokadev Charging Station,"Near Rajpath Club,SG Highway",9223581898,CCS-IICHAdeMODC,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.0225,72.5714",23.0225,72.5714
Gujarat,Ahmedabad,M Glads Charging Station,FF-34 Silver Triangle Complex Vyas Wadi Circle Nava Wadaj,9879275111,GBTAC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.0225,72.5714",23.0225,72.5714
Gujarat,Ahmedabad,Tata Power - Charging Station,"Ram Nagar, Sabarmati",8866655666,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.085778,72.583123",23.085778,72.583123
Gujarat,Ahmedabad,IOCl - Ashtavinayak Charging Station,Daskroi,9879814812,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/22.922329,72.711943",22.922329,72.711943
Gujarat,Ahmedabad,Tata Power - Yash Motors Charging Station,Narolgam,9925241701,CCS-II,10:00 AM - 06:30 PM,"https://www.google.com/maps/dir/Current+Location/22.97354,72.583323",22.97354,72.583323
Gujarat,Ahmedabad,"Positive Chemical, Ranpur","Rk Industrial Zone 8, Plot No 1,2,3, Village – Ranpur, Kuwadwa Vankaner Highway, District – Rajkot",9223581898,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/22.353827,71.718349",22.353827,71.718349
Gujarat,Ahmedabad,IOCL - Shree Gokulesh COCO Vejalpur Charging Station,"Next To Sachin Towers Shyamal Cross Roads, To, Anandnagar Cross Roads",7906001402,CCS-IICHAdeMOBharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/23.013353,72.52401",23.013353,72.52401
Gujarat,Ahmedabad,Tata Power - Riya Autolink Charging Station,"Near Devkutir Bunglow, Opp Bopal Ambli BRTS Bus Stand, Iscon-Bopal Road",8291637056,CCS-IICHAdeMO,12:00 AM - 11:00 PM,"https://www.google.com/maps/dir/Current+Location/23.02558,72.47991",23.02558,72.47991
Gujarat,Ahmedabad,Tata Power - Westside Charging Station,"Ground Floor, Abhijeet V, Netaji Rd Ellisbridge Opp. Mayor Bungalow, Ellisbridge",8866010014,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/23.029439,72.561501",23.029439,72.561501
Gujarat,Ahmedabad,"MG - Highway, Makarba Charging Station","Plot No 2, Ground Floor, Survey No 841/1 And 2, 10 Signature 1, Near Old Railway Line, SG Highway, Makarba, Ahmedabad",7229044555,CCS-IICHAdeMODC,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/22.99655,72.498207",22.99655,72.498207
