State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Haryana,Ambala,Audi Ambala,"9 KM Stone, Village Khuddi, Tehsil Jagadhari Road, Ambala Cantonment, Ambala District, Haryana",8295825925,AC PLUG POINT,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/30.320886,76.917962/@28.5358896,76.3255523,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5358896,76.3255523
Haryana,Ambala,IOCl - Sai Charging Station,"Ground Floor, NH 152 Ambala Pehowa Road Near Km Stone 6 /9",9416553501,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/22.552128,72.942489",22.552128,72.942489
Haryana,Ambala,IOCL - Jai Ambey Charging Station,"Ground Floor, NH 344, Jagadhari Kalpi",9896008282,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/30.336191,76.983387/@28.5600842,76.3255543,7z/data=!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5600842,76.3255543
Haryana,Ambala,IOCl - Jindal Charging Station,"Ground Floor, Staff Road, AK Line, Kalarheri Capital Chowk",9416020090,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/30.387049,76.866304/@28.5688858,76.3112156,7z/data=!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5688858,76.3112156
Haryana,Ambala,IOCL - Sharma Charging Station,"Ground Floor, NH 152, Old NH 65, Balana A K Line Near Km Stone 11/14",9416304592,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.332642,76.727023",30.332642,76.727023
Haryana,Ambala,IOCL - Saraswati Charging Station,"Ground Floor, Pinjore Kalka Road Kharanwali Near Railway Underpass",8689000046,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.832397,76.934987",30.832397,76.934987
Haryana,Ambala,Mansarovar Charging Station,"Mansarovar Service Station,Ioc Dealer Shahbad Markanda",,Bharat DC-001,Closed Now,"https://www.google.com/maps/dir/Current+Location/30.171062,76.863376",30.171062,76.863376
Haryana,Ambala,BHEL - Vishwe Charging Station,"Vishwe Automobile Iocl,Dhangdheri,Indian Oil Dealers Nh-22 Village",,Bharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/30.372921,76.785516/@28.5618035,76.2881594,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5618035,76.2881594
Haryana,Ambala,Tata Power - Vishwe Charging Station,"Vishwe Automobile Iocl,Dhangdheri",18008332233,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/30.4405343,76.780004/@28.5955907,76.2851601,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5955907,76.2851601
Haryana,Ambala,BPCL - edrive Charging Station,"Model Town, Ambal",18008332233,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/30.36022,76.800334/@28.5554849,76.2962433,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5554849,76.2962433
