State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Jammu and Kashmir,Anantnag,IOCL - Decent Charging Station,"Ground Floor, Bijbehra Arwani",9419041381,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/33.780875,75.065867/@30.2008391,72.7152031,6z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",30.2008391,72.7152031
Jammu and Kashmir,Anantnag,IOCL - Sakhie Charging Station,"Ground Floor, Aishmuqam, Pahalgam Janglath Mandi",9419097786,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/33.857806,75.275602",33.857806,75.275602
Jammu and Kashmir,Anantnag,IOCL - Sangam Charging Station,"Ground Floor, Nainoo, Bijbehara Arwani",9906878979,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/33.832487,75.071305",33.832487,75.071305
Jammu and Kashmir,Anantnag,IOCL - Sartab Charging Station,"Ground Floor, Pampore Ladhu Anantnag",9906508310,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/34.000767,75.003219",34.000767,75.003219
Jammu and Kashmir,Anantnag,IOCL - Shan E Kashmir Charging Station,"Ground Floor, Bijbehara Awantipora Road, Sangam Arwani",9419000918,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/33.823186,75.074526",33.823186,75.074526
Jammu and Kashmir,Anantnag,HPCL - Bismillah Charging Station,"Kalan, Suthsoo",2222863900,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/33.983369,74.855261",33.983369,74.855261
Jammu and Kashmir,Bandipora,Wullar Charging Station,"Wullar View,Vill Putshay Dist Bandipora Bandipora",,Bharat AC001Type 2,Closed Now,"https://www.google.com/maps/dir/Current+Location/34.418212,74.595984",34.418212,74.595984
Jammu and Kashmir,Baramulla,IOCL - Gulmarg Charging Station,"Ground Floor, Agarkalan, Magam Babareshi",9419003431,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/34.121076,74.5652125",34.121076,74.5652125
Jammu and Kashmir,Baramulla,IOCL - Zum Zum Charging Station,"Ground Floor, Challah, Baramulla Uri Road Bijhama",9906430900,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/34.103182,74.199211",34.103182,74.199211
Jammu and Kashmir,Budgam,IOCL - Alamdar Charging Station,"Ground Floor, Zaloosa Chahar E Shariff",9797979580,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/33.904584,74.799357",33.904584,74.799357
Jammu and Kashmir,Budgam,IOCL - Tosamadan Fs Charging Station,Indian Oil Petrol Pump Vill-Budran,,Bharat AC001AC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/33.934906,74.639999",33.934906,74.639999
Jammu and Kashmir,Budgam,Sheikh ul alam Charging Station,"Sheikh Ul Alam Filling Station,Srinagar",,Bharat AC001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/33.819787,74.741556",33.819787,74.741556
Jammu and Kashmir,Budgam,HPCL - Sheikh Ul Alam Charging Station,"Kane Dajan, Chrar-I-Shareif Yousmarg Rd, Near Forest Check Post, Charar-I-Sharief, Forest Block",2222863900,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/33.819801,74.741516",33.819801,74.741516
Jammu and Kashmir,Doda,IOCL - Umar Charging Station,"Ground Floor, NH 1D, Dangerpora, Sarai, Srinagar Bandipora Road Bajarni",9906801716,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/34.169658,74.684992",34.169658,74.684992
Jammu and Kashmir,Jammu,Tata Power - Asia One Earth Charging Station,"Asia Building, Nehru Market, Sanjay Nagar, Jabah",8527000290,CCS-IIAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/32.713366,74.859752",32.713366,74.859752
Jammu and Kashmir,Jammu,Tata Power - Charging Station,"MG Arise Autoz Pvt Ltd, Umar Colony",8527000290,CCS-IICHAdeMO,24 Hours,"https://www.google.com/maps/dir/Current+Location/32.706448,74.895657",32.706448,74.895657
Jammu and Kashmir,Jammu,IOCL - Puri & Puri Nagrota Charging Station,"Ground Floor, J Kotli, NH 1A Nagrota",9419187888,Bharat AC001AC TYPE 2,12:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/32.73112,74.814568",32.73112,74.814568
Jammu and Kashmir,Jammu,IOCL - Jammu Auto Aids Charge Station,Narwal Transport Nagar,9419188057,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/32.710275,74.888398",32.710275,74.888398
Jammu and Kashmir,Jammu,IOCL - Nirman Charging Station,Kaluchak Greater Kailash,9419144890,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/32.659278,74.89048",32.659278,74.89048
Jammu and Kashmir,Jammu,IOCL - Shivalik Charging Station,"Ground Floor, Samba Bari Brahmana",9419130944,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/32.636385,74.913823",32.636385,74.913823
Jammu and Kashmir,Jammu,Tata Power - Jkrtc Charging Station,Ground Floor Bikram Chowk,,CCS-IIBharat DC-001,09:15 AM - 09:15 PM,"https://www.google.com/maps/dir/Current+Location/32.718202,74.859791",32.718202,74.859791
Jammu and Kashmir,Jammu,IOCL - Shaheed Kulbir Charging Station,"Ground Floor NH 1A, Samba, Barigarh",9419191448,Bharat AC001AC TYPE 2,06:00 AM - 10:00 AM,"https://www.google.com/maps/dir/Current+Location/32.553056,75.11059",32.553056,75.11059
