State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Jharkhand,Bokaro,Tata Power - Kraft Auto Industrial Area Bokaro Charging Station,"Plot No.- II/A 88, Phase - II,Bokaro Industrial Area",9246419559,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/23.48837,86.126101/@25.0943716,78.3030979,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.0943716,78.3030979
Jharkhand,Bokaro,IOCL - Hr Charging Station,"Plot No 1306, Khata No 26, Phusro Jenamore Road Khutri",9431735321,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/23.704844,86.039416/@25.2058415,78.2183033,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2058415,78.2183033
Jharkhand,Bokaro,IOCL - Jai Mahakal Charging Station,"Khata No 76, Plot No 1050, Amlo, Khutri Jaridih",9234106008,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/23.7049759,86.039111/@25.2058415,78.2183033,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2058415,78.2183033
Jharkhand,Bokaro,IOCL - Jai Mata Di Charging Station,"Mouza No 78, Khata No 18, Plot No 151, Birni Amlo",7004799050,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/25.666704,85.939743/@26.1487065,78.2058766,6z/data=!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.1487065,78.2058766
Jharkhand,Bokaro,IOCL - Maa Parwati Charging Station,"Khata No 17, Plot No 92, Gomi, Karmatand Adrakuri",7004372218,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/23.838067,85.822349",23.838067,85.822349
Jharkhand,Bokaro,Surendra Charging Station,"Surendra Kisan Seva Kendra,Plot No-273 Khata No-30 Village-Mahuatand",,Bharat AC001Type 2,Closed Now,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/23.7019653,85.63505/@25.2755668,80.7057717,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2755668,80.7057717
Jharkhand,Bokaro,IOCL - Neelam KSK Charging Station,Kander,7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/23.775991,85.631885/@25.3125295,80.6567162,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.3125295,80.6567162
Jharkhand,Bokaro,IOCL - Neelam KSK Charging Station,Kander,,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/23.669149,85.629643/@25.2590538,80.7014473,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2590538,80.7014473
Jharkhand,Bokaro,IOCL - Neelam KSK Charging Station,Kander,7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/23.663542,85.629509/@25.2562747,80.7013801,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2562747,80.7013801
Jharkhand,Bokaro,IOCL - Malti Charging Station,"Plot No 470, Jb No 6 Nawadih",9595227468,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/23.830645,85.864696/@25.2687061,78.120263,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2687061,78.120263
Jharkhand,Chatra,IOCL - Dayton Charging Station,Indian Oil Petrol Pump,,Bharat AC001AC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/24.208557,84.873069/@25.5276978,80.3374144,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.5276978,80.3374144
Jharkhand,Deoghar,IOCL JRO Pongam,Jubilee Retail Outlet,,,12:00 AM - 12:00 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/24.527742,86.624759/@25.6148615,78.5469384,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.6148615,78.5469384
Jharkhand,Deoghar,IOCL - Bijay Charging Station,"Plot No 612 612/857, Upper Bahiyar, Kansjora Madhupur",9939995555,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/24.27041,86.521443/@25.3500464,78.4992593,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.3500464,78.4992593
Jharkhand,Deoghar,IOCL - Rah Charging Station,"Plot No 144, Margomunda Haringarna",9631118657,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/24.2734225,86.649484",24.2734225,86.649484
Jharkhand,Dhanbad,Tata Power - SS Motogen Charging Station,"NH 2 Kashitand, Nag Nagar, Barwadd",9246419559,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/23.848551,86.441642/@25.2773408,78.4577463,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2773408,78.4577463
Jharkhand,Dhanbad,Ahilya Charging Station,"Ahilya Fuels,Plot No- 620 Khata No 30 Mouza- Bazro Block- Rajdhanwa",,Bharat AC001Type 2,Closed Now,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.396528,85.955097/@25.5283446,78.2131011,6z/data=!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.5283446,78.2131011
Jharkhand,Dhanbad,EESL - DVC Maithon Charging Station,"(Opposite SBI ATM) DVC Maithon Colony,PO- Maithon Dam",18001803580,CCS-IICHAdeMOAC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/NotNul,+16%2F1454,+Indira+Nagar+Main+Rd,+Sect+C,+Sector+18,+Indira+Nagar,+Lucknow,+Uttar+Pradesh+226016/@26.8821167,80.9856154,13z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m5!1m1!1s0x399be2ab66bb35bf:0x8d9d3c0b723fbbed!2m2!1d80.9887239!2d26.8799945?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.8821167,80.9856154
Jharkhand,Dhanbad,IOCL - Bhakti Charging Station,Pathra Block-Govindpur Dist-Nawada,,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/23.7259706,86.397163",23.7259706,86.397163
Jharkhand,Dhanbad,HPCL - BALIAPUR Charging Station,"Deuli - Khairpal Rd, Baliapur",2222863900,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.729882,86.524071/@25.2185202,78.4525634,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2185202,78.4525634
Jharkhand,Dhanbad,HPCL - Mangalam Charging Station,"Manaitand More, Temple Road, Purana Bazar Main Rd",9523280001,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.786054,86.427207/@25.2678642,78.3856738,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2678642,78.3856738
Jharkhand,Dumka,IOCL - Adarsh Charging Station,"Khata No 39, Plot No 424, NH 114A, Asna Jama Deoghar",7319840973,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/22.60558,86.433464/@24.657131,78.4037757,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.657131,78.4037757
Jharkhand,Dumka,Jai Baba Charging Station,"Jai Baba Basukinath Fuel,Mouza No 16 Khata No 12 Plot No 694 & 695 Mouza",,Bharat AC001Type 2,Closed Now,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.394472,87.086803/@25.5469276,78.7779383,6z/data=!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.5469276,78.7779383
Jharkhand,Dumka,IOCL - Balram Charging Station,"Khata No 57, Plot No 1811, Anguthia Fatehpur",9955578342,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.105922,87.014797/@25.2672563,78.7417659,6z/data=!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2672563,78.7417659
Jharkhand,Dumka,IOCL - RADHA RANI Charging Station,Asanbani,7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.131215,87.441827/@25.4080763,78.957538,6z/data=!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.4080763,78.957538
Jharkhand,Dumka,IOCL - RADHA RANI Charging Station,"JB No 9 Plot No , Barmasia, Asanbani",9110966297,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.134035,87.449018/@25.2672563,78.9650239,6z/data=!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2672563,78.9650239
Jharkhand,East Singhbhum,Tata Power - Ginger Hotel Bistupur (Private - Charger),"Ginger Hotel Jamshedpur Opp. Voltas Building, Bistupur Main Road, Jamshedpur",9223581898,CCS-IIAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/22.7877883,86.184428",22.7877883,86.184428
Jharkhand,Garhwa,IOCL - Ganpati Charging Station,"Ground Floor, Haraiya Adar",7368909399,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.194268,83.679376/@25.5215532,79.679287,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.5215532,79.679287
Jharkhand,Garhwa,IOCL - Shivnandan Charging Station,"Ground Floor, Bana, Latdag Meral",7991167732,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.186988,83.714592/@25.5095025,79.9412801,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.5095025,79.9412801
Jharkhand,Garhwa,HPCL - M/s Triveni Chandravanshi Charging Station,"6Q6M 5WC, Okhargar",2222863900,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.21046,83.784781/@25.506771,79.9684274,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.506771,79.9684274
Jharkhand,Garhwa,HPCL - M/S B.P. KESHRI Charging Station,"Unnamed Road, Bargarh",2222863900,AC TYPE 2,05:00 AM - 09:30 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.63574,83.780272/@25.2421818,79.7514722,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2421818,79.7514722
Jharkhand,Giridih,IOCL - Deo Charging Station,"Plot No 107, Khata No 21, Fitkoriya, Bengabad Barkitand",9934941777,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.2840957,86.181496/@25.4917952,78.3341443,6z/data=!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.4917952,78.3341443
Jharkhand,Giridih,IOCL - Maa Rani Murmu Charging Station,"Khata No 30, Plot No 158, Nawadih, Sabalpur Bagodih",6200951394,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.8385796,86.620375/@25.2529038,78.5510709,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.2529038,78.5510709
