State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Karnataka,Bagalkot,JIO BP - Hunagund Charging Station,"Nh 13, Tondihal Village, Hunagund, Taluka, Bagalkot",18008919023,CCS-II,Closed Now,"https://www.google.com/maps/dir/Current+Location/16.048605,76.062721",16.048605,76.062721
Karnataka,Bagalkot,IOCL - Shree Hucheshwar Petroleums,"Survey No 61/A, Kamatagi, Hungund Shirur",9980789512,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/16.106978,75.863927",16.106978,75.863927
Karnataka,Bagalkot,Jio Bp Charging Station,"Reliance Petrol Pump,X3QX+GC7,Reliance Petroleum,Herur Karnataka",18008919023,CCS-II,Closed Now,"https://www.google.com/maps/dir/Current+Location/15.991045,76.117825",15.991045,76.117825
Karnataka,Bagalkot,Statiq - MR Residency Charging Station,"Infront Of The Building, Street No 323, Mehboobsaab L Sarakawas, Ilkal Road, Hungund, Begalkot, Hungund",9482641333,,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/16.052901,76.066068",16.052901,76.066068
Karnataka,Bidar,IOCL - Appu Charging Station,Sy.No.459/2 Kamthana Village Bidar Taluk Bidar,8123207266,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/17.842026,77.446074",17.842026,77.446074
Karnataka,Bidar,iocl - Horizon Automotives Charging Station,Sy.No.209/1 Sastapur Bangla To Atlapur,9008499999,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/17.828087,76.913983",17.828087,76.913983
Karnataka,Bidar,TATA Power - SVS Tyres Charging Station,"NH 65 , KIADB Industrial Area, Near Fire Station, NH 65 Sastapur, Bangla Basawakalyan",8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/17.872129,76.95146",17.872129,76.95146
Karnataka,Bidar,IOCL - Prabhu Charging Station,"Sy No 3/5, Holasamudra Village Sangam, Kamalnagar Road, Kamalnagar",18002333555,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/16.42507,76.948645",16.42507,76.948645
Karnataka,Bidar,IOCL - Sri Lakshmi Narasimha Charging Station,"Survey No 14/33, Kaudiyal Basavakalyan Bazar",9482547765,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/17.8190088,76.954452",17.8190088,76.954452
Karnataka,Bidar,IOCL - Girne Charging Station,Sy.No.62/18 Boral Village Santhapur - Aurad Road,9900727200,Bharat AC001AC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/18.205622,77.42338",18.205622,77.42338
Karnataka,Bidar,SVS Tyres Sastapur Charging Station,"RWCQ+MH4, Sasthapur Bangla, Karnataka 585327, India",9741397500,CCS-II,Closed Now,"https://www.google.com/maps/dir/Current+Location/17.82176,76.938867",17.82176,76.938867
Karnataka,Bidar,IOCL - M/S MANOHAR RAO NAIK Charging Station,"988F F8R, Kherda B",7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/17.908205,77.480813/@22.29133,73.9186543,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfd991f32b16b:0x93ccba8909978be7!2m2!1d80.946166!2d26.8466937!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",22.29133,73.9186543
Karnataka,Bidar,IOCL - Khoba Charging Station,Nagur Babji,7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/18.148654,77.394914",18.148654,77.394914
Karnataka,Bidar,Charger-M/S MANOHAR RAO NAIK IOCL PETROLEUMS 1,"988F F8R, Kherda B",,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/17.908205,77.480813/@22.29133,73.9186543,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfd991f32b16b:0x93ccba8909978be7!2m2!1d80.946166!2d26.8466937!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",22.29133,73.9186543
Karnataka,Bidar,IOCL - Khoba Charging Station,Nagur Babji,7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/18.150089,77.381869",18.150089,77.381869
Karnataka,Bidar,IOCL - SRI SAIDEEPE KAMBA Charging Station,"1, Dudhukanal",7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/18.284405,77.397668",18.284405,77.397668
Karnataka,Bidar,IOCL - Dr B R Ambedkar Charging Station,Halli,7829330410,16 Amp,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/17.842027,76.850216",17.842027,76.850216
