State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Madhya Pradesh,Anuppur,HPCL - SLP Charging Station,"Village Mediyaras, Annupur",7400490903,IEC 60309,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.141528,81.662473/@24.9954749,78.7654516,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.9954749,78.7654516
Madhya Pradesh,Ashoknagar,IOCL - Shri Girraj Ji Station Charging Station,Shop No 283/2/2 Bhonra Kachhi,9826548180,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.543674,77.685522/@25.6961402,76.7434691,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.6961402,76.7434691
Madhya Pradesh,Ashoknagar,HPCL - Maa Laxmi Devi Charging Station,"Near Bharat Mata School, Ishaghar, Kadwaya",2222863900,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.853343,77.878768/@25.7657825,76.8290408,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.7657825,76.8290408
Madhya Pradesh,Ashoknagar,HPCL - Shreenath Ji Charging Station,"PQQQ V5J, MP SH 20, Saras Khedi",2222863900,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/24.739732,77.787896/@25.7742845,76.7952958,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.7742845,76.7952958
Madhya Pradesh,Balaghat,IOCL - Satyam Fuels Charging Station,"Khasra No 452, Ameda, Risewada Lanji",8519000428,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/21.379285,80.574253",21.379285,80.574253
Madhya Pradesh,Balaghat,IOCL - Chouhan Kisan Sewa Kendra Charging Station,"Khasra No 989/2, Lalbarra, Katangjhari Khamariya Bazar",8821089736,Bharat AC001AC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/21.831262,79.968605",21.831262,79.968605
Madhya Pradesh,Balaghat,"Tata Power - Taj Safari Lodge, Banjaar Tola (Private - Charger)","Kanha National Park, Manjitola Mukki",9223581898,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/22.1398171,80.652287/@24.4776828,77.8330265,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.4776828,77.8330265
Madhya Pradesh,Balaghat,Manglam Chargin Station,"Waraseoni-Balaghat Rd, Dongariya",,Bharat AC001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/21.806326,80.117973/@24.3283388,77.6682144,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.3283388,77.6682144
Madhya Pradesh,Balaghat,HPCL - Mann Charging Station,Songudda,2222863900,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/21.803743,80.57425/@24.3271042,77.8330159,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.3271042,77.8330159
Madhya Pradesh,Barwani,IOCL - Vinayak Charging Station,Ground Floor Anjad Near Krishi Upaj Mandi,9893618803,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/22.031121,74.889683",22.031121,74.889683
