State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Odisha,Angul,Tata Power - Samal Equip Charging Station,"Samal Equip, Nuahata",9246419559,CCS-IIBharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/20.832862,85.238258/@23.8245421,80.4594932,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",23.8245421,80.4594932
Odisha,Angul,Tata Power - Trupti Automotives Charging Station,"Angul , NH 55, TELCO CHOWK, NUAHATA, Banarpal",9246419559,CCS-IIBharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/20.8317557,85.24166",20.8317557,85.24166
Odisha,Angul,IOCL - Hari Om Charging Station,"Ground Floor, Garhsantri, Banarpal Arahat",9937737058,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/21.249045,85.276166",21.249045,85.276166
Odisha,Angul,IOCL - Jai Hanuman Charging Station,"Ground Floor, Khamar, Pallahara Badasada",8249700026,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/21.26473,85.176032",21.26473,85.176032
Odisha,Angul,IOCL - Mirania Charging Station,Ground Floor Angul Bazar,9937111780,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/20.852629,85.186567",20.852629,85.186567
Odisha,Angul,IOCL - Rainbow Charging Station,"Ground Floor, Thakurgarh Sanahula",9437128433,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/20.722922,84.534602/@23.7869001,80.0993139,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",23.7869001,80.0993139
Odisha,Angul,IOCL - Riya Charging Station,Plot No 723 Bantala,8637269084,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/20.748579,85.065967",20.748579,85.065967
Odisha,Angul,IOCL - Souvagini Charging Station,"Ground Floor, Nizigarh, Hindol Badajarada",9439126098,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/20.649243,85.590867",20.649243,85.590867
Odisha,Angul,IOCL - Sriya Charging Station,"Ground Floor, Natada Badajharana",9437290067,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/20.936343,85.058148/@23.8937141,80.3613679,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",23.8937141,80.3613679
Odisha,Angul,Tata Power - Hotel Prasanti ( Private - Charger),"NH55, Turanga",9246419559,CCS-IIAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/20.845148,85.116182",20.845148,85.116182
Odisha,Angul,HPCL - Ganpati Charging Station,"W6VG 29R, Talcher",8888823456,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/C-2%2F42,+Service+Rd,+Lucknow,+Uttar+Pradesh+226010/20.942623,85.225901/@23.8968426,80.4445392,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399958aa82ac850d:0x391d4edb5b1d20d2!2m2!1d81.0737409!2d26.8912593!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",23.8968426,80.4445392
