State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Punjab,Amritsar,"Tata Power - Taj Swarna, Outer Circular Road (Private - Charger)","Plot No. C-3, Outer Circle Circular Road Opp. Vasant Avenue",9223581898,CCS-IIAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/31.659253,74.878432",31.659253,74.878432
Punjab,Amritsar,"Tata Power - Mahal FS, Sultanwind Charging Station","Sultanwind, From Tara Wala Fly Over To Tarn Taran Road",8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/31.598773,74.895409/@29.0840326,72.6881851,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",29.0840326,72.6881851
Punjab,Amritsar,Tata Power - One Earth Avaas Charging Station,Amritsar,18008332233,CCS-IIAC TYPE 2,12:00 AM - 12:00 PM,"https://www.google.com/maps/dir/Current+Location/31.646439,74.878117",31.646439,74.878117
Punjab,Amritsar,Audi Amritsar Charging Station,"GT Road, Great Avenue, Khalsa Colony, Amritsar, Punjab",9167112210,AC PLUG POINT,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/31.613483,74.916714",31.613483,74.916714
Punjab,Amritsar,Tata Power - Mahal Charging Station,"Mahal Filling Station,Sultanwind Sub Urban",,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/31.644011,74.884453",31.644011,74.884453
Punjab,Amritsar,IOCL - Noor Charging Station,"Ground Floor, Loharka, Ajnala Thoba",7986530469,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/13.124226,79.912682",13.124226,79.912682
Punjab,Amritsar,IOCL - Maharaja Charging Station,"Ground Floor, Hansawala Viring",9872155354,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/31.378806,75.134549",31.378806,75.134549
Punjab,Amritsar,IOCL - Mss Charging Station,Ground Floor Bhakna Kalan,9814882544,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/31.582182,74.719337",31.582182,74.719337
Punjab,Amritsar,IOCL - Amar Charging Station,"Ground Floor, Harsha Chinna, Ajnala Bagga",8146554354,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/31.750064,74.780365",31.750064,74.780365
Punjab,Amritsar,IOCL - Brothers Charging Station,"Ground Floor, Khadoor Sahib, Bhalaipur Dogran Wale Khurd",9915161619,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/31.497511,75.2092",31.497511,75.2092
Punjab,Amritsar,IOCL - Gill Charging Station,"Ground Floor, Majitha Hamza Road, Majitha Mjitha",9878240001,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/31.769038,74.964401",31.769038,74.964401
Punjab,Amritsar,IOCL - Gurasees Charging Station,"Ground Floor, Dhulka, Baba Bakala Thothian",9814450519,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/31.581524,75.178446/@29.0678277,72.8264641,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",29.0678277,72.8264641
Punjab,Amritsar,IOCL - Gursher Charging Station,"Ground Floor, Jhander, Ajnala Madhu Chhanga",9888785911,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/30.935575,75.857234",30.935575,75.857234
Punjab,Amritsar,IOCL - Shubh Charging Station,"Ground Floor, Gopala, Tarn Taran Jaura",9780637637,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/31.350571,74.839391",31.350571,74.839391
Punjab,Amritsar,SSPL - Nexus Amritsar Charging Station,Nexus Amritsar Upper Basement MBM Farms GT Road Amritsar Punjab,,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/31.633523,74.852601",31.633523,74.852601
Punjab,Amritsar,Charge Zone- Amritsar,"PR4F+53Q, Bal Schander, Bal, Punjab",,CCS-II,Closed Now,"https://www.google.com/maps/dir/Current+Location/31.673581,74.843737",31.673581,74.843737
Punjab,Amritsar,Charge Zone- Pune,"52, Mall Road, Krishna Nagar, Green Avenue, Amritsar, Punjab",,CCS-II,Closed Now,"https://www.google.com/maps/dir/Current+Location/31.639263,74.888213",31.639263,74.888213
Punjab,Amritsar,Ather-The Amritsar Club Charging Station,"Garden, Inside, Ram Bagh, Company Bagh",01832223100,,10:00 AM - 09:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/NotNul,+16%2F1454,+Indira+Nagar+Main+Rd,+Sect+C,+Sector+18,+Indira+Nagar,+Lucknow,+Uttar+Pradesh+226016/@26.8821167,80.9856154,13z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m5!1m1!1s0x399be2ab66bb35bf:0x8d9d3c0b723fbbed!2m2!1d80.9887239!2d26.8799945?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.8821167,80.9856154
Punjab,Amritsar,Ather-Space Charging Station,"Novelty Chowk, Novelty Building, Lawrence Road, Adjoining Novelty Mall",,,10:00 AM - 09:00 PM,"https://www.google.com/maps/dir/Current+Location/31.641775,74.875467",31.641775,74.875467
Punjab,Amritsar,Ather-Novelty Tata Charging Station,"14, Mall Rd, Tagore Colony, White Avenue",7676600900,,10:00 AM - 09:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/31.642957,74.868532/@29.0991058,72.6735984,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",29.0991058,72.6735984
