State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Rajasthan,Ajmer,Tata Power - Mudgal Motors Charging Station,"Mudgal Motors, Jaipur Road Bypas, Parbatpura",8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Lucknow,+Uttar+Pradesh/26.409926,74.661819/@26.7076325,72.5101803,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399bfd991f32b16b:0x93ccba8909978be7!2m2!1d80.946166!2d26.8466937!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.7076325,72.5101803
Rajasthan,Ajmer,SSPL - Rani Bagh Resort charging station,"Rani Bagh Resort, N.H.8, By Pass Ajmer Road, Gayatri Nagar, Beawar",8070743743,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.125158,74.345852",26.125158,74.345852
Rajasthan,Ajmer,"Tata Power - GPS Automobile, Charging Station",G.P.S. Automobiles Pvt. Ltd. Express Highway Near Municipal Trenching Ground Parbatpura,18008332233,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.426766,74.681988",26.426766,74.681988
Rajasthan,Ajmer,Tata Power - Lotus Motors Charging Station,"16 Km Stone, Village Neharia Kishangarh",8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.610228,75.009925",26.610228,75.009925
Rajasthan,Ajmer,Tata Power - Bravia Hotel (Private -Charger),"Bravia Hotel, Vaishali Nagar, Near Urban Haat",8527000290,CCS-IIAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.487745,74.629316",26.487745,74.629316
Rajasthan,Ajmer,IOCL - Shree Dev Charging Station,"Ground Floor, Sikhrani Bijainagar",9680803940,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/25.977508,74.696117",25.977508,74.696117
Rajasthan,Ajmer,IOCL - B M Charging Station,Indian Oil Petrol Pump Kh.No.1477/11831381481/139 & 1479 Village Bagliya Tehsil Beawar,9880691077,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/25.885162,74.160647/@26.4443702,72.2568974,6z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.4443702,72.2568974
Rajasthan,Ajmer,Iocl - Jyoti Charging Station,"Ground Floor, Roopangarh, Dardoond Raghunath Pura",9414739773,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.807826,74.823376/@26.863473,72.5928743,6z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.863473,72.5928743
Rajasthan,Ajmer,IOCL - Khanpur Diesels Charging Station,Ground Floor Lohagal,9829072879,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.516401,74.657936/@26.7627216,72.5099371,6z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",26.7627216,72.5099371
Rajasthan,Ajmer,IOCL - Shri Dadhimathi Charging Station,"Ground Floor, Dhanma, Sarwar Barol",9636238537,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/26.399169,74.642261",26.399169,74.642261
