State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Tamil Nadu,Ariyalur,Ather-Kaveri Charging Station,"9 49F8, Ariyalur, Eruthukaran Patti, Kurumanchavadi Bypass",7676600900,,11:59 PM - 12:00 AM,"https://www.google.com/maps/dir/Current+Location/11.149984,79.083276",11.149984,79.083276
Tamil Nadu,Chengalpattu,McDonalds BPCL,"Vallal MGR Salai,Maraimalai Nagar Tamil Nadu",,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/12.769981,80.026107",12.769981,80.026107
Tamil Nadu,Chengalpattu,BPCL - Melmaruvathur Charging Station,Melmaruvathur Chengalpattu,,CCS-II,24 Hours,"https://www.google.com/maps/dir/Current+Location/12.426866,79.829941",12.426866,79.829941
Tamil Nadu,Chengalpattu,Ather-Chengalpattu Charging Station,"2, RV St",7676600900,,11:59 PM - 12:00 AM,"https://www.google.com/maps/dir/Current+Location/12.670318,79.975374",12.670318,79.975374
Tamil Nadu,Chengalpattu,Ather-Chengalpattu Charging Station,"86/2A GST Road, Pulipakkam Village",7676600900,,11:59 PM - 12:00 AM,"https://www.google.com/maps/dir/Current+Location/12.707473,79.977306",12.707473,79.977306
Tamil Nadu,Chennai,Zulaikha Motors Charging Station,10/8 3rd Main Road Below Telephone Exchange Bridge Sai Nagar Ambattur Industrial Estate,9742211172,CCS-IICHAdeMOSocket3PIN,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/13.2544,80.0088",13.2544,80.0088
Tamil Nadu,Chennai,Diselecti Automotive Pvt Ltd,60/2 61/2 East Coast Road Chettiyar Agaram,9884866993,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/13.2544,80.0088",13.2544,80.0088
Tamil Nadu,Chennai,Tata Power - FPL Vehicles Charging Station,No. 824 Annasali Nandnam Charging Station,18008332233,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/13.0481744,80.2496475",13.0481744,80.2496475
Tamil Nadu,Chennai,COC - Koyambedu Charging Station,"Station, Kaliamman Main Road, Koyembedu",,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/13.073613,80.194583",13.073613,80.194583
Tamil Nadu,Chennai,Kazam - Sait Colony Charging Station,"26,Sait Colony 1st Street, Egmore",9789514174,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/13.079061,80.261084",13.079061,80.261084
Tamil Nadu,Chennai,Hotel Vadapalani (Private - Charger),61 Inner Ring Rd Thiru Nagar Colony NGO Colony,9742211172,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/13.073999,80.19392",13.073999,80.19392
Tamil Nadu,Chennai,Tata Power - Gurudev Charging Station,"Old No. 90, New No. 1090, E.V.R. Periyar High Road",9742211172,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/13.07656,80.2021",13.07656,80.2021
Tamil Nadu,Chennai,Fairfield - By Marriott Charging station,"Central Ave, Mahendra Word City, Maraimala Nagar, Cheeni",8527000290,CCS-IIAC PLUG POINTCHAdeMO,12:00 AM - 12:00 PM,"https://www.google.com/maps/dir/Current+Location/12.957212,80.22376",12.957212,80.22376
Tamil Nadu,Chennai,Tales Hotel (Private - Charger),"37,20, Bheemanna Garden St, Alwarpet",18008332233,CCS-IICHAdeMO,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/13.033655,80.255285",13.033655,80.255285
Tamil Nadu,Chennai,Tata Power - Ginger Vadapalani Charging Station,"61, Inner Ring Rd, Thiru Nagar Colony, NGO Colony, Vadapalani",18008332233,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/13.056477,80.211242",13.056477,80.211242
Tamil Nadu,Chennai,Tata Power - Fairfield - by Marriott Charging Station,"Near Main Entrance, Mahindra World City",18008332233,CCS-IICHAdeMOAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/12.730601,80.004612",12.730601,80.004612
Tamil Nadu,Chennai,Tata Power - Four Points by Sheraton Charging Station,"Survey No 169, Plot 1B And 1A, Rajiv Gandhi Salai, Kumaran Nagar, Sholinganallur",18008332233,CCS-IICHAdeMOAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/12.875508,80.227371",12.875508,80.227371
Tamil Nadu,Chennai,Tata Power - Hotels Pumpkin Tales Alwarpet (Private - Charger),"37, 20, Bheemanna Garden St, Alwarpet",9742211172,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/13.033672,80.255254",13.033672,80.255254
Tamil Nadu,Chennai,MEENAMBAKKAM Charging Station,"Great Southern Trunk Road, National Airports Authority Colony, Meenambakkam",9841824572,CCS-II,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/12.92278,80.115574",12.92278,80.115574
