State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Telangana,Adilabad,"IOCL - Sri Sainath Filling Station, Mavala","Sy No 162&163, Mavala, SV HANUMAN Mandal, Adilabad District",8527000290,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/19.635628,78.50868",19.635628,78.50868
Telangana,Adilabad,IOCL - Police Petrol Pump Charging Station,"APJ Abdul Kalam Rd, Vidya Nagar",9246419559,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/19.669815,78.52186",19.669815,78.52186
Telangana,Adilabad,"IOCL - Dasnapur, Khoja Colony Charging Station","JGW8+G75, Adilabad Main Rd, Dasnapur, Khoja Colony, Adilabad(U), Telangana",9908539333,CCS-II,12:00 AM - 12:00 PM,"https://www.google.com/maps/dir/Current+Location/19.64655,78.515502",19.64655,78.515502
Telangana,Adilabad,Joule Point - Adilabad Charging Station,"Shop No:1-2-56, Adilabad, Opp. Rajkumar Lodge, Kagaznagar (M)",,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/19.346421,79.490236",19.346421,79.490236
Telangana,Adilabad,IOCL - Bhukhapur Charging Station,Sy. No: 31/3 Arhqrs Bhukhapur Village,,CCS-IIBharat DC-001,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/19.672648,78.532791",19.672648,78.532791
Telangana,Adilabad,TML - Sree Venkateswara Motors Charging Station,"Plot No 8, Survey No - 21/4, Industrial Area, Dasnapur",9246419559,CCS-IIBharat DC001 GB/T,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/19.6560251,78.52951",19.6560251,78.52951
Telangana,Hyderabad,Electric Vehicle Charging Station,Hyderguda Road Himayat Nagar Opposite Old MLA Quarters,9642841000,IEC 60309AC TYPE 1,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/17.36694,78.475294",17.36694,78.475294
Telangana,Hyderabad,Powergrid Electric Vehicle Charging Station,Hyderabad Next Galleria 2 Hitec City,9711181070,DCGBT,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/17.370872,78.473921",17.370872,78.473921
Telangana,Hyderabad,Tata Power - Ground and First,755 Road Number 36 Kavuri Hills Phase 1 Jubilee Hills,18008332233,Bharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/17.4678,78.4253",17.4678,78.4253
Telangana,Hyderabad,Concard Motor Alkarpuri,Rangareddy,9932745283,,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/17.1883,79.2",17.1883,79.2
Telangana,Hyderabad,Tata Power - Sirimalle Square Charging Station,Sirimalle Square Plot No 8 9 10 Survey No 523/B Pillar No 160 Attapur Rajendranagar Mandal,18008332233,CCS-IICHAdeMO,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/15.4786,78.4831",15.4786,78.4831
Telangana,Hyderabad,Sagar Ring Road,Alekhya Tower Opposite LB Nagar,7799599923,IEC 60309AC TYPE 1,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/15.8281,78.0373",15.8281,78.0373
Telangana,Hyderabad,Mahindra - Automotive Manufacturers Pvt Ltd Charging Station,"B- 3, IDA Uppal, District Ranga Reddy, Gaddi Annaram, Telangana, Hyderabad",9650992422,CCS-IICHAdeMOBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/17.1883,79.2",17.1883,79.2
