State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Tripura,North Tripura,IOCL - Ramthakur Charging Station,"Ground Floor, Kumarghat, Ratiabari, Pabiacherra Sayedabari",7005584383,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/24.14627,92.024321",24.14627,92.024321
Tripura,North Tripura,IOCL - Sunyamastak Charging Station,Ground Floor Dalugaon,8787740187,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/24.248463,92.046754",24.248463,92.046754
Tripura,South Tripura,IOCL - B R Charging Station,"Ground Floor, Garji Garjee",8837207847,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.432114,91.50163",23.432114,91.50163
Tripura,South Tripura,IOCL - Giridhari (Ksk)Charging Station,Ground Floor Palatana,8415986937,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.509927,91.448993",23.509927,91.448993
Tripura,South Tripura,IOCL - Kiron Charging Station,"Ground Floor, Udaipur Radhakishorepu",9436131034,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.536112,91.486908",23.536112,91.486908
Tripura,South Tripura,IOCL - RajibCharging Station,"Ground Floor, Udaipur, Gomati Radhakishorepur",9436131277,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.532018,91.487036",23.532018,91.487036
Tripura,South Tripura,IOCL - Sarada Charging Station,"Ground Floor, Nalchar Sepahijala",9436133338,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.497224,91.331293",23.497224,91.331293
Tripura,West Tripura,IOCL - Kiron Charging Station,Ground Floor Melagha,9436133836,Bharat AC001AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/23.499646,91.339346",23.499646,91.339346
Tripura,West Tripura,IOCL - ilIstt Charging Station,"Madhabbari, Jirania Ranirbazar",9862764109,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.818537,91.406113",23.818537,91.406113
Tripura,West Tripura,IOCL - Simula Charging Station,"Ground Floor, Laxminarayanpur Rajnagar Khowai",7017279896,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/24.013153,91.674513",24.013153,91.674513
Tripura,West Tripura,IOCL - M S Vishwanath Charging Station,"Ground Floor, Teliamura Howaibari",9830555295,Bharat AC001AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.818697,91.613775",23.818697,91.613775
Tripura,West Tripura,"Tata Power - Ginger Hotel, Airport Road (Private - Charger)","Ginger Hotel Agartala Khejur Bagan, Airport Road, Barjala Mouja",9223581898,CCS-IIAC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/23.8620683,91.282239",23.8620683,91.282239
Tripura,West Tripura,Tata Power - Progressive Automobiles Charging Station,"Bypass Road, Nagicherra, Agartala",7045120713,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Current+Location/23.810707,91.32782",23.810707,91.32782
