State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
Uttarakhand,Almora,SSPL - Riverside By Aahma Charging Station,"Garjiya P.O,, Dhikuli,Ramnagar, Nainital",8070743743,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/29.482354,79.144804/@28.1713673,78.7807427,8z/data=!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.1713673,78.7807427
Uttarakhand,Dehradun,Electric - Chandra Charging Station,"855, Chandra Vatika, Chandra Parisar, Chandrabani Road, Manjra",7983851554,Socket3PIN,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/29.815,79.2902/@28.3392537,78.7672751,8z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.3392537,78.7672751
Uttarakhand,Dehradun,Tata Power - Oberai Motors Charging Station,"Near, ISBT Chowk, Shimla Bypass Rd, Majra",8527000290,CCS-IICHAdeMO,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.290728,77.998633/@28.5587126,76.8897309,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5587126,76.8897309
Uttarakhand,Dehradun,IOCL - Brij Mohan Charging Station,Saharanpur Road Transport Nagar,9447239263,CCS-IIBharat DC-001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.268325,77.984747/@28.5587126,76.8837701,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5587126,76.8837701
Uttarakhand,Dehradun,Tata Power - H2H Intercity Solutions Charging Station,"114/1,Bypass Road, Niranjan Pur Brahmanwala",8527000290,CCS-II,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.287694,78.010389/@28.5587126,76.8965167,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5587126,76.8965167
Uttarakhand,Dehradun,Tata Power - Pearl Height (Private - Charger),"Pearl Heights, Kanwali Road, Anurag Chowk",8527000290,AC TYPE 2,12:00 AM - 11:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.324708,78.006845/@28.5753449,76.8946867,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5753449,76.8946867
Uttarakhand,Dehradun,Uttarakhand Transport Charging Station,"1, Raj Vihar, Chakrata Road, Near Fri Gate",8476007508,Bharat AC001,12:00 AM - 11:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.332364,78.000256/@28.5778571,76.8915261,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5778571,76.8915261
Uttarakhand,Dehradun,Tata Power - Pacific Mall Charging Station,"Rajpur Road, Pacific Mall, Rajpur Rd, Jakhan, Dehradun",7830234222,CCS-IICHAdeMOAC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.36665,78.070334/@28.5944366,76.9153269,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5944366,76.9153269
Uttarakhand,Dehradun,Tata Power - DEF Hostel Parking Charging Station,"Arcadia Grant, PO- Chandanwari, Premnagar, Dehradun",8527000290,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.334198,77.959861/@28.5791725,76.8713287,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5791725,76.8713287
Uttarakhand,Dehradun,"Tata Power - Uttaranchal University, Premnagar UIM & UID Parking Charging Station","Arcadia Grant, PO- Chandanwari, Premnagar, Dehradun",8527000290,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.334198,77.959861/@28.5791725,76.8713287,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5791725,76.8713287
Uttarakhand,Dehradun,"Tata Power - Highway Filling Station,","Highway Filling Station,Opp. Himalyaa Drug Co. Saharanpur Road",8527000290,CCS-IIBharat DC-001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/30.333941,77.959694/@28.5791725,76.8712449,7z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",28.5791725,76.8712449
