State,District,Station Name,Address,Contact,Services,Final Timing,Map URL,Latitude,Longitude
West Bengal,Alipurduar,Electric Vehicle Charging Station,Debinagar 11 Hat Kalibari BF Road Alipurduar Sobhaganj,8597833243,,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Current+Location/26.350464,92.679035",26.350464,92.679035
West Bengal,Bankura,IOCL - Sharmila Charging Station,"Plot No 971, Khatian No 1243, Guptipur, Kalna Simlon",8597145405,Bharat AC001AC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/23.216729,88.352591",23.216729,88.352591
West Bengal,Bankura,IOCL - Banani Charging Station,"Ground Floor, Sonamukhi Rangamati Road, Bishnupur Amral Near Industrial Growth Centre",9474931190,Bharat AC001AC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/23.067308,87.321483",23.067308,87.321483
West Bengal,Bankura,IOCL - Chandidas Charging Station,"Ground Floor, Kalapathar, Chatna Alijhara",9475120927,Bharat AC001AC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.323246,86.939671/@25.0156387,78.704091,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",25.0156387,78.704091
West Bengal,Bankura,IOCL - Chandimata Charging Station,"Plot No 1542, Lock No 113, Dasdighi, Khatian No 1126 J Asurali",8373088123,Bharat AC001AC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.042958,87.526911/@24.8759953,78.9506094,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.8759953,78.9506094
West Bengal,Bankura,IOCL - Maito Maa Charging Station,"Plot No 538 P, 539 P, Lock No 194, Mathuradanga, Kh No 636 Vrindabanpur",9126538565,Bharat AC001AC TYPE 2,06:00 AM - 10:00 PM,"https://www.google.com/maps/dir/Current+Location/23.319298,87.292523",23.319298,87.292523
West Bengal,Bankura,Swapan Charging Station,"NH 14, Ramsagar,Onda Bankura, West Bengal",,AC TYPE 2,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.106332,87.259091/@24.9075956,78.8638645,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.9075956,78.8638645
West Bengal,Bankura,Mondal Charging Station,"Chua Masina,Bankura,West Bengal",,Bharat AC001,10:00 AM - 07:00 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.178866,87.335617/@24.9437369,78.9095725,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.9437369,78.9095725
West Bengal,Bankura,HPCL- Mallabhum Service Station,"Kamarberia, Bankura - Bishnupur Rd, Onda,",,AC TYPE 2,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.13095,87.21776/@24.9191933,78.8433763,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.9191933,78.8433763
West Bengal,Bankura,Mshsd Bankura Charging Station,"Bankura - Chhatna Rd, Bankura, West Bengal",18008332233,Bharat AC001,12:00 AM - 11:59 PM,"https://www.google.com/maps/dir/Uattardhona,+Uttar+Pradesh/23.250068,87.030921/@24.9792675,78.7497464,6z/data=!3m1!4b1!4m8!4m7!1m5!1m1!1s0x399be207e556dd5d:0x379527c1feb0fcbc!2m2!1d81.0648758!2d26.8912141!1m0?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",24.9792675,78.7497464
