District code,State name,District name,Population
1,JAMMU AND KASHMIR,Kupwara,870354
2,JAMMU AND KASHMIR,Badgam,753745
3,JAMMU AND KASHMIR,Leh(Ladakh),133487
4,JAMMU AND KASHMIR,Kargil,140802
5,JAMMU AND KASHMIR,Punch,476835
6,JAMMU AND KASHMIR,Rajouri,642415
7,JAMMU AND KASHMIR,Kathua,616435
8,JAMMU AND KASHMIR,Baramula,1008039
9,JAMMU AND KASHMIR,Bandipore,392232
10,JAMMU AND KASHMIR,Srinagar,1236829
11,JAMMU AND KASHMIR,Ganderbal,297446
12,JAMMU AND KASHMIR,Pulwama,560440
13,JAMMU AND KASHMIR,Shupiyan,266215
14,JAMMU AND KASHMIR,Anantnag,1078692
15,JAMMU AND KASHMIR,Kulgam,424483
16,JAMMU AND KASHMIR,Doda,409936
17,JAMMU AND KASHMIR,Ramban,283713
18,JAMMU AND KASHMIR,Kishtwar,230696
19,JAMMU AND KASHMIR,Udhampur,554985
20,JAMMU AND KASHMIR,Reasi,314667
21,JAMMU AND KASHMIR,Jammu,1529958
22,JAMMU AND KASHMIR,Samba,318898
23,HIMACHAL PRADESH,Chamba,519080
24,HIMACHAL PRADESH,Kangra,1510075
25,HIMACHAL PRADESH,Lahul AND Spiti,31564
26,HIMACHAL PRADESH,Kullu,437903
27,HIMACHAL PRADESH,Mandi,999777
28,HIMACHAL PRADESH,Hamirpur,454768
29,HIMACHAL PRADESH,Una,521173
30,HIMACHAL PRADESH,Bilaspur,381956
31,HIMACHAL PRADESH,Solan,580320
32,HIMACHAL PRADESH,Sirmaur,529855
33,HIMACHAL PRADESH,Shimla,814010
34,HIMACHAL PRADESH,Kinnaur,84121
35,PUNJAB,Gurdaspur,2298323
36,PUNJAB,Kapurthala,815168
37,PUNJAB,Jalandhar,2193590
38,PUNJAB,Hoshiarpur,1586625
39,PUNJAB,Shahid Bhagat Singh Nagar,612310
40,PUNJAB,Fatehgarh Sahib,600163
41,PUNJAB,Ludhiana,3498739
42,PUNJAB,Moga,995746
43,PUNJAB,Firozpur,2029074
44,PUNJAB,Muktsar,901896
45,PUNJAB,Faridkot,617508
46,PUNJAB,Bathinda,1388525
47,PUNJAB,Mansa,769751
48,PUNJAB,Patiala,1895686
49,PUNJAB,Amritsar,2490656
50,PUNJAB,Tarn Taran,1119627
51,PUNJAB,Rupnagar,684627
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628
53,PUNJAB,Sangrur,1655169
54,PUNJAB,Barnala,595527
55,CHANDIGARH,Chandigarh,1055450
56,UTTARAKHAND,Uttarkashi,330086
57,UTTARAKHAND,Chamoli,391605
58,UTTARAKHAND,Rudraprayag,242285
59,UTTARAKHAND,Tehri Garhwal,618931
60,UTTARAKHAND,Dehradun,1696694
61,UTTARAKHAND,Garhwal,687271
62,UTTARAKHAND,Pithoragarh,483439
63,UTTARAKHAND,Bageshwar,259898
64,UTTARAKHAND,Almora,622506
65,UTTARAKHAND,Champawat,259648
66,UTTARAKHAND,Nainital,954605
67,UTTARAKHAND,Udham Singh Nagar,1648902
68,UTTARAKHAND,Hardwar,1890422
69,HARYANA,Panchkula,561293
70,HARYANA,Ambala,1128350
71,HARYANA,Yamunanagar,1214205
72,HARYANA,Kurukshetra,964655
73,HARYANA,Kaithal,1074304
74,HARYANA,Karnal,1505324
75,HARYANA,Panipat,1205437
76,HARYANA,Sonipat,1450001
77,HARYANA,Jind,1334152
78,HARYANA,Fatehabad,942011
79,HARYANA,Sirsa,1295189
80,HARYANA,Hisar,1743931
81,HARYANA,Bhiwani,1634445
82,HARYANA,Rohtak,1061204
83,HARYANA,Jhajjar,958405
84,HARYANA,Mahendragarh,922088
85,HARYANA,Rewari,900332
86,HARYANA,Gurgaon,1514432
87,HARYANA,Mewat,1089263
88,HARYANA,Faridabad,1809733
89,HARYANA,Palwal,1042708
90,DELHI,North West,3656539
91,DELHI,North,887978
92,DELHI,North East,2241624
93,DELHI,East,1709346
94,DELHI,New Delhi,142004
95,DELHI,Central,582320
96,DELHI,West,2543243
97,DELHI,South West,2292958
98,DELHI,South,2731929
99,RAJASTHAN,Ganganagar,1969168
100,RAJASTHAN,Hanumangarh,1774692
101,RAJASTHAN,Bikaner,2363937
102,RAJASTHAN,Churu,2039547
103,RAJASTHAN,Jhunjhunun,2137045
104,RAJASTHAN,Alwar,3674179
105,RAJASTHAN,Bharatpur,2548462
106,RAJASTHAN,Dhaulpur,1206516
107,RAJASTHAN,Karauli,1458248
108,RAJASTHAN,Sawai Madhopur,1335551
109,RAJASTHAN,Dausa,1634409
110,RAJASTHAN,Jaipur,6626178
111,RAJASTHAN,Sikar,2677333
112,RAJASTHAN,Nagaur,3307743
113,RAJASTHAN,Jodhpur,3687165
114,RAJASTHAN,Jaisalmer,669919
115,RAJASTHAN,Barmer,2603751
116,RAJASTHAN,Jalor,1828730
117,RAJASTHAN,Sirohi,1036346
118,RAJASTHAN,Pali,2037573
119,RAJASTHAN,Ajmer,2583052
120,RAJASTHAN,Tonk,1421326
121,RAJASTHAN,Bundi,1110906
122,RAJASTHAN,Bhilwara,2408523
123,RAJASTHAN,Rajsamand,1156597
124,RAJASTHAN,Dungarpur,1388552
125,RAJASTHAN,Banswara,1797485
126,RAJASTHAN,Chittaurgarh,1544338
127,RAJASTHAN,Kota,1951014
128,RAJASTHAN,Baran,1222755
129,RAJASTHAN,Jhalawar,1411129
130,RAJASTHAN,Udaipur,3068420
131,RAJASTHAN,Pratapgarh,867848
132,UTTAR PRADESH,Saharanpur,3466382
133,UTTAR PRADESH,Muzaffarnagar,4143512
134,UTTAR PRADESH,Bijnor,3682713
135,UTTAR PRADESH,Moradabad,4772006
136,UTTAR PRADESH,Rampur,2335819
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221
138,UTTAR PRADESH,Meerut,3443689
139,UTTAR PRADESH,Baghpat,1303048
140,UTTAR PRADESH,Ghaziabad,4681645
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115
142,UTTAR PRADESH,Bulandshahr,3499171
143,UTTAR PRADESH,Aligarh,3673889
144,UTTAR PRADESH,Mahamaya Nagar,1564708
145,UTTAR PRADESH,Mathura,2547184
146,UTTAR PRADESH,Agra,4418797
147,UTTAR PRADESH,Firozabad,2498156
148,UTTAR PRADESH,Mainpuri,1868529
149,UTTAR PRADESH,Budaun,3681896
150,UTTAR PRADESH,Bareilly,4448359
151,UTTAR PRADESH,Pilibhit,2031007
152,UTTAR PRADESH,Shahjahanpur,3006538
153,UTTAR PRADESH,Kheri,4021243
154,UTTAR PRADESH,Sitapur,4483992
155,UTTAR PRADESH,Hardoi,4092845
156,UTTAR PRADESH,Unnao,3108367
157,UTTAR PRADESH,Lucknow,4589838
158,UTTAR PRADESH,Rae Bareli,3405559
159,UTTAR PRADESH,Farrukhabad,1885204
160,UTTAR PRADESH,Kannauj,1656616
161,UTTAR PRADESH,Etawah,1581810
162,UTTAR PRADESH,Auraiya,1379545
163,UTTAR PRADESH,Kanpur Dehat,1796184
